#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-2.027e-05,3897
-2.026e-05,4087
-2.025e-05,3319
-2.024e-05,3319
-2.023e-05,3319
-2.022e-05,3963
-2.021e-05,2546
-2.02e-05,2418
-2.019e-05,1271
-2.018e-05,1271
-2.017e-05,1271
-2.016e-05,4079
-2.015e-05,4079
-2.014e-05,4079
-2.013e-05,4079
-2.012e-05,3863
-2.011e-05,3070
-2.01e-05,2822
-2.009e-05,1675
-2.008e-05,1675
-2.007e-05,1675
-2.006e-05,910
-2.005e-05,3871
-2.004e-05,774
-2.003e-05,774
-2.002e-05,196
-2.001e-05,196
-2e-05,196
-1.999e-05,3899
-1.998e-05,196
-1.997e-05,0
-1.996e-05,196
-1.995e-05,196
-1.994e-05,196
-1.993e-05,196
-1.992e-05,774
-1.991e-05,838
-1.99e-05,774
-1.989e-05,1675
-1.988e-05,1675
-1.987e-05,1675
-1.986e-05,2958
-1.985e-05,3871
-1.984e-05,2822
-1.983e-05,2823
-1.982e-05,4079
-1.981e-05,4079
-1.98e-05,4079
-1.979e-05,1271
-1.978e-05,2047
-1.977e-05,4087
-1.976e-05,3583
-1.975e-05,3959
-1.974e-05,2418
-1.973e-05,2419
-1.972e-05,3319
-1.971e-05,3319
-1.97e-05,3319
-1.969e-05,3897
-1.968e-05,4095
-1.967e-05,3897
-1.966e-05,4094
-1.965e-05,4095
-1.964e-05,4094
-1.963e-05,4095
-1.962e-05,3897
-1.961e-05,3899
-1.96e-05,3897
-1.959e-05,3319
-1.958e-05,3327
-1.957e-05,3319
-1.956e-05,3071
-1.955e-05,3959
-1.954e-05,2418
-1.953e-05,2419
-1.952e-05,1271
-1.951e-05,1271
-1.95e-05,1271
-1.949e-05,4079
-1.948e-05,4079
-1.947e-05,4079
-1.946e-05,4095
-1.945e-05,3919
-1.944e-05,2982
-1.943e-05,2823
-1.942e-05,1675
-1.941e-05,1675
-1.94e-05,1675
-1.939e-05,2934
-1.938e-05,1950
-1.937e-05,774
-1.936e-05,3028
-1.935e-05,228
-1.934e-05,196
-1.933e-05,196
-1.932e-05,3890
-1.931e-05,193
-1.93e-05,0
-1.929e-05,196
-1.928e-05,196
-1.927e-05,196
-1.926e-05,902
-1.925e-05,774
-1.924e-05,774
-1.923e-05,774
-1.922e-05,1675
-1.921e-05,1675
-1.92e-05,1675
-1.919e-05,2838
-1.918e-05,3982
-1.917e-05,2822
-1.916e-05,4079
-1.915e-05,4079
-1.914e-05,4079
-1.913e-05,4095
-1.912e-05,1271
-1.911e-05,4095
-1.91e-05,2039
-1.909e-05,2938
-1.908e-05,4086
-1.907e-05,2418
-1.906e-05,3319
-1.905e-05,3319
-1.904e-05,3319
-1.903e-05,3319
-1.902e-05,3897
-1.901e-05,4091
-1.9e-05,3897
-1.899e-05,4094
-1.898e-05,4094
-1.897e-05,4094
-1.896e-05,4093
-1.895e-05,3897
-1.894e-05,3897
-1.893e-05,3961
-1.892e-05,3319
-1.891e-05,3831
-1.89e-05,3319
-1.889e-05,2938
-1.888e-05,3062
-1.887e-05,2418
-1.886e-05,1527
-1.885e-05,1271
-1.884e-05,1271
-1.883e-05,3319
-1.882e-05,4079
-1.881e-05,4079
-1.88e-05,4079
-1.879e-05,3071
-1.878e-05,4062
-1.877e-05,2822
-1.876e-05,1935
-1.875e-05,1675
-1.874e-05,1675
-1.873e-05,1675
-1.872e-05,3959
-1.871e-05,974
-1.87e-05,774
-1.869e-05,3285
-1.868e-05,196
-1.867e-05,196
-1.866e-05,132
-1.865e-05,4
-1.864e-05,0
-1.863e-05,0
-1.862e-05,196
-1.861e-05,196
-1.86e-05,196
-1.859e-05,774
-1.858e-05,774
-1.857e-05,774
-1.856e-05,1675
-1.855e-05,1675
-1.854e-05,1675
-1.853e-05,3723
-1.852e-05,3895
-1.851e-05,3022
-1.85e-05,2822
-1.849e-05,4079
