Time (s),Bus
0.0400481,67
0.04004811,405
0.04004812,1574
0.04004813,3882
0.04004814,4090
0.04004815,3439
0.04004816,2284
0.04004817,558
0.04004818,75
0.04004819,731
0.0400482,2455
0.04004821,3688
0.04004822,4008
0.04004823,2675
0.04004824,2519
0.04004825,3668
0.04004826,4008
0.04004827,2811
0.04004828,970
0.04004829,85
0.0400483,437
0.04004831,1574
0.04004832,3029
0.04004833,3926
0.04004834,3755
0.04004835,2748
0.04004836,986
0.04004837,67
0.04004838,913
0.04004839,1574
0.0400484,970
0.04004841,85
0.04004842,405
0.04004843,1574
0.04004844,3362
0.04004845,4090
0.04004846,3535
0.04004847,2284
0.04004848,958
0.04004849,67
0.0400485,921
0.04004851,1574
0.04004852,3688
0.04004853,4072
0.04004854,3171
0.04004855,1873
0.04004856,574
0.04004857,31
0.04004858,1626
0.04004859,2455
0.0400486,3668
0.04004861,4008
0.04004862,2811
0.04004863,3031
0.04004864,3926
0.04004865,3753
0.04004866,2747
0.04004867,986
0.04004868,85
0.04004869,405
0.0400487,1574
0.04004871,3029
0.04004872,4062
0.04004873,3275
0.04004874,2220
0.04004875,686
0.04004876,67
0.04004877,731
0.04004878,1574
0.04004879,3362
0.0400488,4090
0.04004881,3535
0.04004882,1813
0.04004883,574
0.04004884,31
0.04004885,1130
0.04004886,411
0.04004887,3624
0.04004888,4072
0.04004889,3171
0.0400489,1875
0.04004891,1303
0.04004892,167
0.04004893,1638
0.04004894,2519
0.04004895,3668
0.04004896,4008
0.04004897,2811
0.04004898,970
0.04004899,85
0.040049,437
0.04004901,1574
0.04004902,1346
0.04004903,279
0.04004904,167
0.04004905,1638
0.04004906,2961
0.04004907,4062
0.04004908,3275
0.04004909,2220
0.0400491,3362
0.04004911,4058
0.04004912,3535
0.04004913,3580
0.04004914,558
0.04004915,79
0.04004916,1755
0.04004917,1983
0.04004918,3882
0.04004919,4090
0.0400492,3439
0.04004921,1811
0.04004922,310
0.04004923,31
0.04004924,1128
0.04004925,471
0.04004926,3688
0.04004927,4008
0.04004928,2683
0.04004929,1858
0.0400493,277
0.04004931,167
0.04004932,1638
0.04004933,1875
0.04004934,279
0.04004935,167
0.04004936,1128
0.04004937,2965
0.04004938,3926
0.04004939,3755
0.0400494,2748
0.04004941,3989
0.04004942,4062
0.04004943,3275
0.04004944,2220
0.04004945,686
0.04004946,67
0.04004947,731
0.04004948,1574
0.04004949,986
0.0400495,67
0.04004951,401
0.04004952,1574
0.04004953,3882
0.04004954,4090
0.04004955,3431
0.04004956,2284
0.04004957,3624
0.04004958,4072
0.04004959,3171
0.0400496,1875
0.04004961,1303
0.04004962,167
0.04004963,1638
0.04004964,1809
0.04004965,310
0.04004966,31
0.04004967,1128
0.04004968,2453
0.04004969,3926
0.0400497,3753
0.04004971,2747
0.04004972,1875
0.04004973,279
0.04004974,167
0.04004975,1638
0.04004976,2965
0.04004977,4054
0.04004978,3275
0.04004979,2220
0.0400498,970
0.04004981,85
0.04004982,405
0.04004983,1574
0.04004984,3362
0.04004985,4090
0.04004986,3535
0.04004987,2284
0.04004988,958
0.04004989,67
0.0400499,921
0.04004991,1574
0.04004992,3688
0.04004993,4072
0.04004994,3171
0.04004995,1873
0.04004996,574
0.04004997,31
0.04004998,1626
0.04004999,2455
0.04005,3668
0.04005001,4008
0.04005002,2811
0.04005003,1875
0.04005004,279
0.04005005,167
0.04005006,1128
0.04005007,2965
0.04005008,3926
0.04005009,3755
